PhysicalX(mm),PhysicalY(mm),MaxAmplitude(dBm)
126.311,98.760,-88.144
129.384,98.760,-89.598
132.457,98.760,-88.437
135.531,98.760,-87.860
138.604,98.760,-87.668
141.677,98.760,-87.751
144.751,98.760,-89.236
147.824,98.760,-87.260
150.897,98.760,-88.557
153.971,98.760,-90.399
157.044,98.760,-89.480
160.117,98.760,-88.342
163.191,98.760,-88.531
166.264,98.760,-89.382
169.337,98.760,-87.099
172.411,98.760,-86.571
175.484,98.760,-86.369
-5.843,102.254,-86.698
-2.770,102.254,-86.812
0.304,102.254,-86.225
3.377,102.254,-86.756
6.450,102.254,-87.367
9.524,102.254,-88.109
12.597,102.254,-87.963
15.670,102.254,-88.304
18.744,102.254,-87.459
21.817,102.254,-88.713
24.890,102.254,-87.520
27.964,102.254,-87.491
31.037,102.254,-89.226
34.111,102.254,-88.725
37.184,102.254,-90.228
40.257,102.254,-91.322
43.331,102.254,-90.189
46.404,102.254,-88.958
49.477,102.254,-90.285
52.551,102.254,-90.810
55.624,102.254,-90.656
58.697,102.254,-91.182
61.771,102.254,-91.708
64.844,102.254,-93.154
67.917,102.254,-93.717
70.991,102.254,-94.179
74.064,102.254,-94.922
77.137,102.254,-93.856
80.211,102.254,-95.903
83.284,102.254,-96.891
86.357,102.254,-93.360
89.431,102.254,-94.713
92.504,102.254,-93.288
95.577,102.254,-93.040
98.651,102.254,-93.014
101.724,102.254,-90.068
104.797,102.254,-89.998
107.871,102.254,-88.527
110.944,102.254,-88.014
114.017,102.254,-86.835
117.091,102.254,-85.396
120.164,102.254,-88.082
123.237,102.254,-87.660
126.311,102.254,-86.696
129.384,102.254,-86.481
132.457,102.254,-87.603
135.531,102.254,-87.614
138.604,102.254,-87.867
141.677,102.254,-87.640
144.751,102.254,-88.151
147.824,102.254,-88.052
150.897,102.254,-86.481
153.971,102.254,-86.899
157.044,102.254,-85.109
160.117,102.254,-89.203
163.191,102.254,-88.452
166.264,102.254,-87.229
169.337,102.254,-86.621
172.411,102.254,-87.092
175.484,102.254,-85.099
-5.843,105.748,-86.553
-2.770,105.748,-87.357
0.304,105.748,-86.183
3.377,105.748,-86.454
6.450,105.748,-86.853
9.524,105.748,-87.970
12.597,105.748,-88.199
15.670,105.748,-88.257
18.744,105.748,-87.951
21.817,105.748,-86.676
24.890,105.748,-89.210
27.964,105.748,-89.078
31.037,105.748,-89.314
34.111,105.748,-88.649
37.184,105.748,-88.059
40.257,105.748,-89.569
43.331,105.748,-90.768
46.404,105.748,-92.527
49.477,105.748,-91.140
52.551,105.748,-92.165
55.624,105.748,-91.896
58.697,105.748,-91.429
61.771,105.748,-93.384
64.844,105.748,-92.692
67.917,105.748,-94.171
70.991,105.748,-95.191
74.064,105.748,-93.119
77.137,105.748,-93.968
80.211,105.748,-95.221
83.284,105.748,-95.756
86.357,105.748,-93.038
89.431,105.748,-95.500
92.504,105.748,-95.353
95.577,105.748,-93.518
98.651,105.748,-92.510
101.724,105.748,-89.730
104.797,105.748,-92.123
107.871,105.748,-88.713
110.944,105.748,-89.509
114.017,105.748,-88.515
117.091,105.748,-86.226
120.164,105.748,-88.183
123.237,105.748,-88.048
126.311,105.748,-88.193
129.384,105.748,-89.053
132.457,105.748,-86.224
135.531,105.748,-87.694
138.604,105.748,-87.010
141.677,105.748,-87.499
144.751,105.748,-88.950
147.824,105.748,-88.683
150.897,105.748,-88.451
153.971,105.748,-87.234
157.044,105.748,-89.051
160.117,105.748,-88.737
163.191,105.748,-89.187
166.264,105.748,-87.962
169.337,105.748,-87.430
172.411,105.748,-88.900
175.484,105.748,-88.354
-5.843,109.242,-85.697
-2.770,109.242,-86.683
0.304,109.242,-87.259
3.377,109.242,-86.043
6.450,109.242,-88.503
9.524,109.242,-87.691
12.597,109.242,-87.358
15.670,109.242,-87.542
18.744,109.242,-86.948
21.817,109.242,-86.914
24.890,109.242,-89.480
27.964,109.242,-88.228
31.037,109.242,-88.288
34.111,109.242,-88.790
37.184,109.242,-89.105
40.257,109.242,-89.022
43.331,109.242,-91.809
46.404,109.242,-90.623
49.477,109.242,-90.507
52.551,109.242,-90.513
55.624,109.242,-91.980
58.697,109.242,-92.797
61.771,109.242,-91.597
64.844,109.242,-92.041
67.917,109.242,-93.614
70.991,109.242,-95.381
74.064,109.242,-93.579
77.137,109.242,-92.757
80.211,109.242,-95.110
83.284,109.242,-95.151
86.357,109.242,-96.342
89.431,109.242,-95.411
92.504,109.242,-95.678
95.577,109.242,-95.202
98.651,109.242,-95.491
101.724,109.242,-94.348
104.797,109.242,-94.196
107.871,109.242,-92.701
110.944,109.242,-92.872
114.017,109.242,-91.342
117.091,109.242,-91.260
120.164,109.242,-89.929
123.237,109.242,-89.297
126.311,109.242,-87.844
129.384,109.242,-90.025
132.457,109.242,-90.412
135.531,109.242,-89.487
138.604,109.242,-89.634
141.677,109.242,-90.576
144.751,109.242,-88.008
147.824,109.242,-90.162
150.897,109.242,-89.495
153.971,109.242,-89.454
157.044,109.242,-87.976
160.117,109.242,-89.346
163.191,109.242,-86.674
166.264,109.242,-87.847
169.337,109.242,-88.807
172.411,109.242,-87.633
175.484,109.242,-87.181
-5.843,112.737,-84.475
-2.770,112.737,-85.811
0.304,112.737,-87.298
3.377,112.737,-87.819
6.450,112.737,-87.374
9.524,112.737,-87.325
12.597,112.737,-86.452
15.670,112.737,-87.898
18.744,112.737,-87.560
21.817,112.737,-88.095
24.890,112.737,-87.227
27.964,112.737,-87.764
31.037,112.737,-87.651
34.111,112.737,-88.129
37.184,112.737,-88.124
40.257,112.737,-90.226
43.331,112.737,-89.231
46.404,112.737,-89.293
49.477,112.737,-91.166
52.551,112.737,-91.676
55.624,112.737,-92.561
58.697,112.737,-92.408
61.771,112.737,-91.433
64.844,112.737,-92.886
67.917,112.737,-93.884
70.991,112.737,-93.363
74.064,112.737,-93.340
77.137,112.737,-94.660
80.211,112.737,-95.336
83.284,112.737,-94.513
86.357,112.737,-95.155
89.431,112.737,-95.255
92.504,112.737,-94.281
95.577,112.737,-96.345
98.651,112.737,-95.701
101.724,112.737,-96.435
104.797,112.737,-94.249
107.871,112.737,-94.049
110.944,112.737,-92.305
114.017,112.737,-90.945
117.091,112.737,-89.096
120.164,112.737,-88.085
123.237,112.737,-89.437
126.311,112.737,-89.030
129.384,112.737,-87.873
132.457,112.737,-90.605
135.531,112.737,-89.226
138.604,112.737,-89.676
141.677,112.737,-89.380
144.751,112.737,-88.402
147.824,112.737,-88.987
150.897,112.737,-89.171
153.971,112.737,-89.549
157.044,112.737,-90.101
160.117,112.737,-89.745
163.191,112.737,-89.396
166.264,112.737,-90.114
169.337,112.737,-87.386
172.411,112.737,-88.136
175.484,112.737,-89.156
-5.843,116.231,-85.099
-2.770,116.231,-83.988
0.304,116.231,-86.510
3.377,116.231,-87.078
6.450,116.231,-86.841
